what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1470485763653
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1470485763655
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1470485763657
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1470485763659
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1470485763666
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1470485763667
os,sysinfo,,,"win32",1470485763686
arch,sysinfo,,,"x86_64",1470485763687
ws,sysinfo,,,"win32",1470485763687
locale,sysinfo,,,"en_US",1470485763687
processors,sysinfo,,,"4",1470485763687
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1470485763687
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1470485763687
java.specification.name,sysinfo,,,"Java Platform API Specification",1470485763688
java.specification.vendor,sysinfo,,,"Oracle Corporation",1470485763688
java.specification.version,sysinfo,,,"1.7",1470485763688
java.vendor,sysinfo,,,"Oracle Corporation",1470485763688
java.version,sysinfo,,,"1.7.0_79",1470485763688
java.vm.info,sysinfo,,,"mixed mode",1470485763688
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1470485763688
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1470485763688
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1470485763688
java.vm.specification.version,sysinfo,,,"1.7",1470485763688
java.vm.vendor,sysinfo,,,"Oracle Corporation",1470485763688
java.vm.version,sysinfo,,,"24.79-b02",1470485763688
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470485787678
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470486068046
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1470486071505
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1470486071515
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1470486071547
opened,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470486071644
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470486071774
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470486079299
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470486092112
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470486093178
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470486093358
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1470486107052
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.2.v201201260000,"org.eclipse.jpt.jaxb.ui",1470486107082
started,bundle,org.eclipse.jpt.jpa.ui,3.0.2.v201201243020,"org.eclipse.jpt.jpa.ui",1470486107092
started,bundle,org.eclipse.jpt.common.core,1.0.2.v201111103010,"org.eclipse.jpt.common.core",1470486107132
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1470486107282
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1470486107282
started,bundle,org.eclipse.jpt.jpa.core,3.0.2.v201201243020,"org.eclipse.jpt.jpa.core",1470486107292
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1470486107352
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1470486107372
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20111129-2053,"org.eclipse.pde.api.tools",1470486107504
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1470486107514
started,bundle,org.eclipse.jpt.jaxb.core,1.0.2.v201111103010,"org.eclipse.jpt.jaxb.core",1470486108236
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470486108646
started,bundle,org.eclipse.jdt.junit,3.7.0.v20110928-1453,"org.eclipse.jdt.junit",1470486108760
started,bundle,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse",1470486108788
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470486118662
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470486118762
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470486126876
