what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470801166211
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801187131
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801190331
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801193919
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801194699
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801225123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801242891
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801246261
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801288121
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801288292
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801299462
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801304470
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801339882
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801347916
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801351784
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470801367837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470801370879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470801378616
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470801382719
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801408584
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470801428942
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801607859
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801612508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801679213
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801689073
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801698651
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801699181
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801699431
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801699618
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801700039
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801703815
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801707247
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470801709368
opened,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470801714345
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801716483
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801720274
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801726110
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801730119
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470801737383
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801737487
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801782615
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801782972
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801791605
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801795412
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801796348
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801798345
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470801813943
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801814047
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801831826
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801832197
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801840686
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470801848303
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470801850273
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1470801855112
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801858404
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470801866316
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470801868191
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801870741
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801877053
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801877739
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801877891
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470801878751
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801878828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470801880719
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801885387
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801886509
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470801888503
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801891725
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801895469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801897154
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801900962
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801900977
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801904753
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801911603
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470801911631
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801911960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801918717
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470801925631
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470801932121
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801949406
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801949593
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801949780
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801949952
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470801950201
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470801954601
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801958689
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801962278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470801964028
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470801964044
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470801964202
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470801990508
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470801997590
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470801999368
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470802005078
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470802011115
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470802016497
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470802022862
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470802023252
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470802023361
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1470802025405
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470802027979
