what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471406925362
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471406945718
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471406958396
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471406964801
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471406978676
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407041081
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407064246
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471407080420
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471407091878
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471407099806
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407105147
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407108520
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407109412
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407122354
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471407124294
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407125572
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407127959
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407130626
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471407131843
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407133599
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407137751
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407138624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407142433
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407152921
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407197049
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407200787
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407225200
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407233266
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407235065
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407251305
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407260953
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407262313
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407273359
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407284398
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407291308
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407309628
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407319936
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407325851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407333450
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407339685
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407343860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407356616
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407360193
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1471407420313
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407438071
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407441478
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407478473
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407484141
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471407504511
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407506123
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407513004
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407527013
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407527067
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407529502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407543256
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407553658
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407566865
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471407583451
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1471407587139
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1471407598116
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1471407601727
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407619197
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407626669
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1471407630101
started,bundle,org.eclipse.debug.ui,3.7.102.v20111129-1423_r372,"org.eclipse.debug.ui",1471407633767
started,bundle,org.eclipse.jdt.junit.core,3.7.0.v20110928-1453,"org.eclipse.jdt.junit.core",1471407635062
started,bundle,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui",1471407636341
opened,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1471407638307
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407638432
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407640023
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471407640679
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471407640757
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1471407680592
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471407680661
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407688249
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471407698827
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407702267
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407714421
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407722469
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407740734
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407750309
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407786146
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1471407854646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407857423
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407858499
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407858515
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407859123
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471407861636
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407862276
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407933094
activated,view,org.testng.eclipse,6.9.12.201607091356,"org.testng.eclipse.ResultView",1471407992345
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1471407992470
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471407998618
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1471408008836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471408053124
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471408053499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.undo",1471408053920
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1471408072453
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471408077897
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1471408109971
