what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470198400138
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470198403539
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198407564
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198409599
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198414061
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198414092
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198418258
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198436502
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470198436520
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470198436867
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198454999
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470198459707
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198601671
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470198605308
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198606527
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198606651
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470198607345
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198607416
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198607596
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198609627
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1470198613611
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470198632106
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198637356
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198645033
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198649026
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198659045
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470198659084
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198679446
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198683338
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470198809888
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198817314
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198817454
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1470198818702
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198818765
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198831385
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198942276
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470198944959
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198949655
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198949717
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198996541
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470198996713
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199072381
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199073800
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1470199075610
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470199078873
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199082776
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199084040
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199088627
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199088643
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199092902
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1470199122030
activated,view,org.testng.eclipse,6.9.11.201604020423,"org.testng.eclipse.ResultView",1470199122133
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1470199122586
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470199132332
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470199298918
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1470199334193
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1470199537436
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1470199538035
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1470199565009
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.toggleOverwrite",1470199570350
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470199579234
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470199579604
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1470199590351
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1470199602802
