what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1469246134839
started,bundle,org.eclipse.jem.util,2.1.100.v201103021400,"org.eclipse.jem.util",1469246134870
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20120127-1122,"org.eclipse.emf.ecore.xmi",1469246134886
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1469246134886
started,bundle,org.eclipse.wst.common.modulecore,1.2.103.v201201190400,"org.eclipse.wst.common.modulecore",1469246134964
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469246151141
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246161970
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1469246185635
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246192717
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246193138
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469246207709
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246218459
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246220660
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246221814
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246260487
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246265510
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246268224
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246355444
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469246389984
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246403417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246405258
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246428050
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246429641
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246429828
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246433791
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246435023
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469246435226
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246437535
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246437675
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1469246438424
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246438502
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246451575
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246453026
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246456990
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246457005
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246460780
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246502444
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1469246503836
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1469246517802
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1469246540704
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246546851
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246548302
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246548474
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1469246590765
