what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1468553807863
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1468553807863
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1468553807878
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1468553807878
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1468553807878
os,sysinfo,,,"win32",1468553807894
arch,sysinfo,,,"x86_64",1468553807894
ws,sysinfo,,,"win32",1468553807894
locale,sysinfo,,,"en_US",1468553807894
processors,sysinfo,,,"4",1468553807894
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1468553807894
java.runtime.version,sysinfo,,,"1.7.0_79-b15",1468553807894
java.specification.name,sysinfo,,,"Java Platform API Specification",1468553807894
java.specification.vendor,sysinfo,,,"Oracle Corporation",1468553807894
java.specification.version,sysinfo,,,"1.7",1468553807894
java.vendor,sysinfo,,,"Oracle Corporation",1468553807894
java.version,sysinfo,,,"1.7.0_79",1468553807894
java.vm.info,sysinfo,,,"mixed mode",1468553807894
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1468553807894
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1468553807894
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1468553807894
java.vm.specification.version,sysinfo,,,"1.7",1468553807894
java.vm.vendor,sysinfo,,,"Oracle Corporation",1468553807894
java.vm.version,sysinfo,,,"24.79-b02",1468553807894
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProblemView",1468553809298
started,bundle,org.eclipse.pde.launching,3.6.0.v20110506,"org.eclipse.pde.launching",1468553814877
started,bundle,org.eclipse.ui.views.log,1.0.200.v20110404,"org.eclipse.ui.views.log",1468553814877
started,bundle,org.eclipse.pde.ui,3.6.100.v20120103_r372,"org.eclipse.pde.ui",1468553814877
